====================================================================================================
MONITEUR RADIO — 2026-08-04 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:49  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:34:17  🌐 échec réseau AzuraCast/Liquidsoap  (×26)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   19:02:25  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:09  COUPÉ 18s « All in All - CHF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-04 (heures UTC)
266 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
13:21:21 BLOC_C_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  Tite 2
13:23:29 BLOC_C_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Tite 3
13:25:48 BLOC_C_SERIE_DU_JOUR              4m59s      4m56s      -3s  ✅  Lévitique 27
13:30:44 BLOC_C_SERIE_DU_JOUR              3m57s      3m55s      -2s  ✅  Jacques 1
13:34:39 BLOC_C_SERIE_DU_JOUR              3m51s      3m48s      -3s  ✅  Jacques 2
13:38:27 BLOC_C_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Jacques 3
13:41:20 BLOC_C_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Jacques 4
13:44:04 BLOC_C_SERIE_DU_JOUR              3m28s      3m26s      -2s  ✅  Jacques 5
13:47:30 BLOC_C_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Aggée 1
13:50:10 BLOC_C_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Aggée 2
13:54:05 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
13:56:42 BLOC_C_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
13:56:51 BLOC_C_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
14:07:23 BLOC_C_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
14:11:31 BLOC_C_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
14:16:13 BLOC_C_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
14:22:30 BLOC_C_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
14:29:01 BLOC_C_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
14:38:41 BLOC_C_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
14:43:41 BLOC_C_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
14:48:12 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
14:48:22 BLOC_C_SERIE_DU_JOUR              4m20s      4m17s      -3s  ✅  2 Corinthiens 1
