====================================================================================================
MONITEUR RADIO — 2026-08-25 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:21  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:10  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×23)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
GARDE DE FRONTIÈRE : 3 snapshot(s) · ⚠️ doublon(s) vu(s) dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 107s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-25 (heures UTC)
262 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
16:53:20 BLOC_C_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
16:58:02 BLOC_C_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
17:03:51 BLOC_C_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  Jesus I'm Waiting for You (Mary Umoh)
17:09:39 BLOC_C_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
17:18:17 BLOC_C_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
17:24:50 BLOC_C_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
17:30:44 BLOC_C_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
17:35:44 BLOC_C_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
17:41:34 BLOC_C_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
17:41:43 BLOC_C_SERIE_DU_JOUR              3m36s      3m34s      -2s  ✅  Daniel 1
17:45:17 BLOC_C_SERIE_DU_JOUR              9m09s      9m05s      -4s  ✅  Daniel 2
17:54:22 BLOC_C_SERIE_DU_JOUR              6m24s      6m22s      -2s  ✅  Daniel 3
18:00:44 BLOC_D_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
18:00:51 BLOC_D_SERIE_DU_JOUR           1h26m45s   1h26m43s      -2s  ✅  aps la moisson 20220226 6
19:27:34 BLOC_D_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
19:27:44 BLOC_D_SERIE_DU_JOUR              1m49s      1m47s      -2s  ✅  1 Thessaloniciens 1
19:29:31 BLOC_D_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Thessaloniciens 2
