====================================================================================================
MONITEUR RADIO — 2026-09-03 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 65 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:35  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:29  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:53  🌐 échec réseau AzuraCast/Liquidsoap  (×60)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:00:12  COUPÉ 461s « 10 minutes »
          ↳ cause probable 00:01:35 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   12:25:21  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:01  TROU 61s « Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR - »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-03 (heures UTC)
319 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
08:17:36 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
08:17:47 BLOC_B_SERIE_DU_JOUR              4m49s      4m46s      -3s  ✅  Deutéronome 33
08:22:33 BLOC_B_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Deutéronome 34
08:24:27 BLOC_B_SERIE_DU_JOUR              4m36s      4m34s      -2s  ✅  Néhémie 10
08:29:01 BLOC_B_SERIE_DU_JOUR              4m55s      4m52s      -3s  ✅  Néhémie 11
08:33:53 BLOC_B_SERIE_DU_JOUR              6m29s      6m27s      -2s  ✅  Néhémie 12
08:40:20 BLOC_B_SERIE_DU_JOUR              5m20s      5m17s      -3s  ✅  Néhémie 13
08:45:37 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
08:45:45 BLOC_B_SERIE_DU_JOUR              9m24s      9m23s      -1s  ✅  I See Your Face - Toronto HF
08:55:08 BLOC_B_SERIE_DU_JOUR              6m04s      6m00s      -4s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
09:01:08 BLOC_B_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
09:10:29 BLOC_B_SERIE_DU_JOUR              8m22s      8m20s      -2s  ✅  Yeshua Hamashiach - Calabar HF
09:18:49 BLOC_B_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
09:24:52 BLOC_B_SERIE_DU_JOUR              6m59s      6m57s      -2s  ✅  Hosanna - Toronto HF
09:31:49 BLOC_B_SERIE_DU_JOUR              5m48s      5m45s      -3s  ✅  Forever You Reign - Abuja HF
09:37:34 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
09:42:38 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
09:42:46 BLOC_B_SERIE_DU_JOUR              8m00s      7m57s      -3s  ✅  2 Samuel 19
09:50:43 BLOC_B_SERIE_DU_JOUR              4m59s      4m57s      -2s  ✅  2 Samuel 20
09:55:40 BLOC_B_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  2 Samuel 21
10:00:05 BLOC_B_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  2 Samuel 22
10:05:53 BLOC_B_SERIE_DU_JOUR              5m49s      5m47s      -2s  ✅  2 Samuel 23
10:11:40 BLOC_B_SERIE_DU_JOUR              4m58s      4m56s      -2s  ✅  2 Samuel 24
10:16:36 BLOC_B_SERIE_DU_JOUR              2m12s      2m09s      -3s  ✅  2 Thessaloniciens 1
10:18:45 BLOC_B_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  2 Thessaloniciens 2
10:21:30 BLOC_B_SERIE_DU_JOUR              2m35s      2m32s      -3s  ✅  2 Thessaloniciens 3
10:24:02 BLOC_B_SERIE_DU_JOUR              7m35s      7m33s      -2s  ✅  Exode 28
10:31:35 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
10:31:45 BLOC_B_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
10:37:25 BLOC_B_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
10:41:41 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
10:45:59 BLOC_B_SERIE_DU_JOUR              4m53s      4m51s      -2s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
10:50:50 BLOC_B_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  As We Worship In Ypur Presence
10:57:43 BLOC_B_SERIE_DU_JOUR              8m30s      8m28s      -2s  ✅  We Worship Adonai - PHF
11:06:11 BLOC_B_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
11:09:32 BLOC_B_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  You Are the Captain of the Host - Toronto HF
11:12:27 BLOC_B_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
11:19:53 BLOC_B_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Song Of Victory - Emmanuel Igunbor
11:23:56 BLOC_B_SERIE_DU_JOUR              6m57s      7m04s      +7s  ✅  The Lord on High is Mightier - Toronto HF
11:31:00 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  Genèse 12
11:34:10 BLOC_B_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Genèse 13
11:36:57 BLOC_B_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  Genèse 14
11:41:03 BLOC_B_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Genèse 15
11:44:27 BLOC_B_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Genèse 16
11:47:12 BLOC_B_SERIE_DU_JOUR              4m16s      4m13s      -3s  ✅  Genèse 17
11:51:25 BLOC_B_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
11:51:37 BLOC_B_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
11:59:25 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
11:59:34 ?                                 0m31s      0m38s      +7s  ✅  AzuraCast is Live!
12:00:12 BLOC_C_SERIE_DU_JOUR             25m04s     25m09s      +5s  ✅  pqe j8
12:25:21 BLOC_C_SERIE_DU_JOUR             25m04s     25m02s      -2s  ✅  pqe j8
