Rapport de diffusion — 2026-06-28 (heures UTC)
268 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m10s      1m49s     +99s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
08:40:12 BLOC_B_SERIE_DU_JOUR              1m22s      1m18s      -4s  ✅  Psaumes 84
08:41:30 BLOC_B_SERIE_DU_JOUR              1m13s      1m11s      -2s  ✅  Psaumes 85
08:42:41 BLOC_B_SERIE_DU_JOUR              1m51s      1m49s      -2s  ✅  Psaumes 86
08:44:30 BLOC_B_SERIE_DU_JOUR              0m43s      0m41s      -2s  ✅  Psaumes 87
08:45:11 BLOC_B_SERIE_DU_JOUR              1m40s      1m37s      -3s  ✅  Psaumes 88
08:46:48 BLOC_B_SERIE_DU_JOUR              4m40s      4m38s      -2s  ✅  Psaumes 89
08:51:26 BLOC_B_SERIE_DU_JOUR             11m53s     11m49s      -4s  ✅  Hashem - PHF
09:03:15 BLOC_B_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
09:09:43 BLOC_B_SERIE_DU_JOUR              6m15s      6m13s      -2s  ✅  Oh Lord I Want to Know Your Glory - Port Harcourt HF
09:15:56 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias 1
09:19:19 BLOC_B_SERIE_DU_JOUR              1m21s      1m19s      -2s  ✅  2 Chroniques 27
09:20:38 BLOC_B_SERIE_DU_JOUR              4m55s      4m52s      -3s  ✅  2 Chroniques 28
09:25:30 BLOC_B_SERIE_DU_JOUR              6m27s      6m25s      -2s  ✅  2 Chroniques 29
09:31:55 BLOC_B_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  2 Chroniques 30
09:36:55 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  2 Chroniques 31
09:41:03 BLOC_B_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  2 Chroniques 32
09:47:20 BLOC_B_SERIE_DU_JOUR              4m24s      4m21s      -3s  ✅  2 Chroniques 33
09:51:41 BLOC_B_SERIE_DU_JOUR              6m43s      6m41s      -2s  ✅  2 Chroniques 34
09:58:22 BLOC_B_SERIE_DU_JOUR              8m30s      8m28s      -2s  ✅  We Worship Adonai - PHF
10:06:50 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
10:11:40 BLOC_B_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
10:17:10 BLOC_B_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
10:27:33 BLOC_B_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
10:32:44 BLOC_B_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  Ascribe Greatness - PHF
10:36:45 BLOC_B_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
10:39:52 BLOC_B_SERIE_DU_JOUR              5m19s      5m18s      -1s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
10:45:10 BLOC_B_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Josué 6
10:50:22 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  Josué 7
10:55:41 BLOC_B_SERIE_DU_JOUR              6m27s      6m24s      -3s  ✅  Josué 8
11:02:05 BLOC_B_SERIE_DU_JOUR              4m38s      4m35s      -3s  ✅  Josué 9
11:06:40 BLOC_B_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
