====================================================================================================
MONITEUR RADIO — 2026-08-13 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 139 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:31  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:29:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:32  🌐 échec réseau AzuraCast/Liquidsoap  (×134)
RESET MINUIT : restart confirmé vers 00:02:07 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:37  TROU 144s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:31 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:17  COUPÉ 58s « Holy is the Lord (Emmanuel Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-13 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
08:32:09 BLOC_B_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Cantique des Cantiques 5
08:35:01 BLOC_B_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Cantique des Cantiques 6
08:37:04 BLOC_B_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Cantique des Cantiques 7
08:38:58 BLOC_B_SERIE_DU_JOUR              2m29s      2m26s      -3s  ✅  Cantique des Cantiques 8
08:41:24 BLOC_B_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Ruth 1
08:45:01 BLOC_B_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Ruth 2
08:49:12 BLOC_B_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Ruth 3
08:52:10 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:52:18 BLOC_B_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
08:58:05 BLOC_B_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Bless Ye the Lord - PHF
09:06:26 BLOC_B_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
09:10:35 BLOC_B_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
09:19:56 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
09:26:27 BLOC_B_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
09:34:15 BLOC_B_SERIE_DU_JOUR              7m36s      7m34s      -2s  ✅  There Is No Lie - SWBN TV
09:41:49 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
09:46:55 BLOC_B_SERIE_DU_JOUR              8m12s      8m09s      -3s  ✅  Jesus is Alpha - PHF
09:55:04 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
09:55:12 BLOC_B_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  Tite 2
09:57:19 BLOC_B_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Tite 3
09:59:39 BLOC_B_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  3 Jean 1
10:01:41 BLOC_B_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Michée 1
