====================================================================================================
MONITEUR RADIO — 2026-08-19 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 252 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:15  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:23  🌐 échec réseau AzuraCast/Liquidsoap  (×247)
RESET MINUIT : restart confirmé vers 00:01:57 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:26  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:20 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:04  COUPÉ 46s « la Parole »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-19 (heures UTC)
255 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
09:39:58 BLOC_B_SERIE_DU_JOUR              6m19s      6m16s      -3s  ✅  Unto Him - CHF
09:46:14 BLOC_B_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
09:55:55 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
10:00:59 BLOC_B_SERIE_DU_JOUR              4m05s      4m02s      -3s  ✅  Song Of Victory - Emmanuel Igunbor
10:05:01 BLOC_B_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
10:09:43 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  There is A Mighty River Flowing - Ketu HF
10:16:50 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
10:17:00 BLOC_B_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
10:19:51 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
10:23:05 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
10:26:24 BLOC_B_SERIE_DU_JOUR              1m05s      1m03s      -2s  ✅  Malachie 4
10:27:27 BLOC_B_SERIE_DU_JOUR              2m43s      2m42s      -1s  ✅  Tite 1
10:30:09 BLOC_B_SERIE_DU_JOUR              2m10s      2m06s      -4s  ✅  Tite 2
10:32:15 BLOC_B_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Tite 3
10:34:35 BLOC_B_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  Actes 1
10:38:25 BLOC_B_SERIE_DU_JOUR              6m21s      6m19s      -2s  ✅  Actes 2
10:44:44 BLOC_B_SERIE_DU_JOUR              3m35s      3m32s      -3s  ✅  Actes 3
10:48:16 BLOC_B_SERIE_DU_JOUR              5m24s      5m22s      -2s  ✅  Actes 4
10:53:38 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
10:53:48 BLOC_B_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  cantique  heureux l homme qui ne marche pas selon
10:56:06 BLOC_B_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
11:01:16 BLOC_B_SERIE_DU_JOUR              7m20s      7m18s      -2s  ✅  The Glory -  PHF
11:08:34 BLOC_B_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
11:13:52 BLOC_B_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  I Will Call Upon The Lord
11:19:00 BLOC_B_SERIE_DU_JOUR             11m54s     11m51s      -3s  ✅  Great & Marvelluos - Toronto HF
11:30:51 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Guide Me - El ELyon - Abuja HF
11:35:53 BLOC_B_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
11:44:12 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  JINGLE
11:44:21 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Sophonie 1
11:47:15 BLOC_B_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
11:49:58 BLOC_B_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
11:53:42 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  Aggée 1
11:56:23 BLOC_B_SERIE_DU_JOUR              3m58s      4m03s      +5s  ✅  Aggée 2
12:00:26 BLOC_C_SERIE_DU_JOUR           1h12m47s   1h12m44s      -3s  ✅  nous faire part 5
13:13:10 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
13:13:20 BLOC_C_SERIE_DU_JOUR              3m49s      3m47s      -2s  ✅  Genèse 28
13:17:07 BLOC_C_SERIE_DU_JOUR              5m14s      5m11s      -3s  ✅  Genèse 29
13:22:18 BLOC_C_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  Genèse 30
13:29:11 BLOC_C_SERIE_DU_JOUR              8m47s      8m45s      -2s  ✅  Genèse 31
13:37:56 BLOC_C_SERIE_DU_JOUR              5m08s      5m05s      -3s  ✅  Genèse 32
13:43:01 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Genèse 33
13:46:12 BLOC_C_SERIE_DU_JOUR              4m59s      4m56s      -3s  ✅  Genèse 34
13:51:08 BLOC_C_SERIE_DU_JOUR              4m50s      4m47s      -3s  ✅  Genèse 35
13:55:55 BLOC_C_SERIE_DU_JOUR              6m37s      6m34s      -3s  ✅  Genèse 36
14:02:29 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
14:02:39 BLOC_C_SERIE_DU_JOUR              4m13s      4m11s      -2s  ✅  4 minutes
14:06:50 BLOC_C_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
14:10:11 BLOC_C_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
14:18:33 BLOC_C_SERIE_DU_JOUR             10m24s     10m21s      -3s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
14:28:54 BLOC_C_SERIE_DU_JOUR              7m17s      7m16s      -1s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
14:36:10 BLOC_C_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
14:41:59 BLOC_C_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
14:48:02 BLOC_C_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
14:54:06 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
14:54:13 BLOC_C_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Galates 1
14:57:27 BLOC_C_SERIE_DU_JOUR              4m08s      4m06s      -2s  ✅  Galates 2
15:01:33 BLOC_C_SERIE_DU_JOUR              4m50s      4m48s      -2s  ✅  Galates 3
15:06:21 BLOC_C_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
15:10:48 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
15:14:50 BLOC_C_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
15:17:33 BLOC_C_SERIE_DU_JOUR              5m40s      5m38s      -2s  ✅  Marc 1
15:23:11 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant louange 06 que la louange seleve
15:23:18 BLOC_C_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
15:27:49 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Ascribe Greatness - PHF
15:31:51 BLOC_C_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  As We Worship In Ypur Presence
15:38:44 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
15:48:05 BLOC_C_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
15:55:53 BLOC_C_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
16:02:21 BLOC_C_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
16:09:16 BLOC_C_SERIE_DU_JOUR              5m28s      5m25s      -3s  ✅  même humilié
16:14:41 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
16:14:49 BLOC_C_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  Néhémie 12
16:21:15 BLOC_C_SERIE_DU_JOUR              5m20s      5m18s      -2s  ✅  Néhémie 13
16:26:33 BLOC_C_SERIE_DU_JOUR              2m52s      2m49s      -3s  ✅  Proverbes 22
16:29:22 BLOC_C_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  Proverbes 23
16:32:35 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Proverbes 24
16:35:46 BLOC_C_SERIE_DU_JOUR              2m58s      2m55s      -3s  ✅  Proverbes 25
16:38:41 BLOC_C_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Proverbes 26
16:41:23 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Proverbes 27
16:44:00 BLOC_C_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Proverbes 28
16:47:04 BLOC_C_SERIE_DU_JOUR              2m39s      2m36s      -3s  ✅  Proverbes 29
16:49:40 BLOC_C_SERIE_DU_JOUR              3m27s      3m34s      +7s  ✅  Proverbes 30
16:53:14 BLOC_C_SERIE_DU_JOUR              4m19s      4m15s      -4s  ✅  I Know The Blood - PHF
16:57:29 BLOC_C_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
17:03:23 BLOC_C_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  Jesus I'm Waiting for You (Mary Umoh)
17:09:11 BLOC_C_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  My God Is Good - Winnipeg Fellowship
17:16:17 BLOC_C_SERIE_DU_JOUR             11m01s     10m59s      -2s  ✅  Great is, Ascribe - Ketu HF
17:27:16 BLOC_C_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
17:31:34 BLOC_C_SERIE_DU_JOUR              8m22s      8m20s      -2s  ✅  Yeshua Hamashiach - Calabar HF
17:39:54 BLOC_C_SERIE_DU_JOUR              8m31s      8m28s      -3s  ✅  Holy Holy - Abuja HF
17:48:22 BLOC_C_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
17:48:31 BLOC_C_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
17:51:36 BLOC_C_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
17:57:15 BLOC_C_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
18:00:48 BLOC_D_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
18:00:56 BLOC_D_SERIE_DU_JOUR           1h12m47s   1h12m44s      -3s  ✅  nous faire part 5
19:13:40 BLOC_D_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
19:13:50 BLOC_D_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  Juges 3
19:19:06 BLOC_D_SERIE_DU_JOUR              4m32s      4m29s      -3s  ✅  Juges 4
19:23:35 BLOC_D_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Juges 5
19:28:47 BLOC_D_SERIE_DU_JOUR              7m41s      7m39s      -2s  ✅  Juges 6
