====================================================================================================
MONITEUR RADIO — 2026-09-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 0 incident(s)
ATTENDU (sans effet à l'antenne, hors verdict) : 199 événement(s) serveur pendant la rotation (23h30-23h40) et le reset de minuit (00h00-00h03) · 1 titre(s) tronqué(s) par le redémarrage de minuit
SERVEUR : aucun incident hors fenêtres planifiées (ni crash, ni échec réseau, ni silence) ✅
   ↳ attendu, hors verdict : 00:01 🌐 échec réseau AzuraCast/Liquidsoap (×2) · 00:01 🔇 bascule sur jingle d'erreur (silence potentiel) (×2) · 23:32 🌐 échec réseau AzuraCast/Liquidsoap (×195)
RESET MINUIT : restart confirmé vers 00:02:09 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:38  TROU 95s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:33 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-10 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
07:23:31 BLOC_B_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Bless Ye the Lord - PHF
07:31:52 BLOC_B_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
07:36:23 BLOC_B_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
07:46:00 BLOC_B_SERIE_DU_JOUR              9m24s      9m21s      -3s  ✅  I See Your Face - Toronto HF
07:55:21 BLOC_B_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  qui est digne d ouvrir le livre
08:02:15 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  The King is Here (Abasiama Timothy)
08:08:25 BLOC_B_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
08:16:43 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:16:51 BLOC_B_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  1 Corinthiens 1
08:21:26 BLOC_B_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  1 Corinthiens 2
08:24:07 BLOC_B_SERIE_DU_JOUR              3m26s      3m22s      -4s  ✅  1 Corinthiens 3
08:27:29 BLOC_B_SERIE_DU_JOUR              3m40s      3m39s      -1s  ✅  1 Corinthiens 4
08:31:08 BLOC_B_SERIE_DU_JOUR              2m17s      2m14s      -3s  ✅  1 Corinthiens 5
08:33:22 BLOC_B_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  1 Corinthiens 6
08:36:38 BLOC_B_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  1 Corinthiens 7
08:43:04 BLOC_B_SERIE_DU_JOUR              2m04s      2m03s      -1s  ✅  1 Corinthiens 8
08:45:07 BLOC_B_SERIE_DU_JOUR              4m09s      4m05s      -4s  ✅  1 Corinthiens 9
08:49:12 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:49:21 BLOC_B_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
08:55:24 BLOC_B_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
09:01:10 BLOC_B_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
09:08:25 BLOC_B_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Rejoice - PHF
09:14:24 BLOC_B_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
09:20:34 BLOC_B_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
