====================================================================================================
MONITEUR RADIO — 2026-08-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 147 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:29  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:29  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:37  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:22  🌐 échec réseau AzuraCast/Liquidsoap  (×140)
RESET MINUIT : restart confirmé vers 00:02:11 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:43  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:37 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-10 (heures UTC)
300 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
07:53:30 BLOC_B_SERIE_DU_JOUR              7m04s      7m02s      -2s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
08:00:32 BLOC_B_SERIE_DU_JOUR              5m18s      5m15s      -3s  ✅  Now is Come Salvation - Toronto HF
08:05:47 BLOC_B_SERIE_DU_JOUR              7m18s      7m15s      -3s  ✅  Holy is the Lord (Emmanuel Umoh)
08:13:02 BLOC_B_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
08:18:52 BLOC_B_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Yahweh Be Praised - Abuja HF
08:24:05 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
08:24:13 BLOC_B_SERIE_DU_JOUR              2m12s      2m09s      -3s  ✅  2 Thessaloniciens 1
08:26:22 BLOC_B_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  2 Thessaloniciens 2
08:29:07 BLOC_B_SERIE_DU_JOUR              2m35s      2m32s      -3s  ✅  2 Thessaloniciens 3
08:31:39 BLOC_B_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Job 1
08:35:18 BLOC_B_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  Job 2
08:37:22 BLOC_B_SERIE_DU_JOUR              2m26s      2m23s      -3s  ✅  Job 3
08:39:45 BLOC_B_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  Job 4
08:41:48 BLOC_B_SERIE_DU_JOUR              2m27s      2m24s      -3s  ✅  Job 5
08:44:12 BLOC_B_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  Job 6
08:47:07 BLOC_B_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Job 7
08:49:26 BLOC_B_SERIE_DU_JOUR              2m06s      2m04s      -2s  ✅  Job 8
08:51:30 BLOC_B_SERIE_DU_JOUR              3m12s      3m09s      -3s  ✅  Job 9
08:54:39 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
08:54:50 BLOC_B_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  Ella Samuels - Oh Lord Our Maker
09:00:32 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
09:04:40 BLOC_B_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
09:09:17 BLOC_B_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
09:15:19 BLOC_B_SERIE_DU_JOUR              7m20s      7m18s      -2s  ✅  The Glory -  PHF
09:22:37 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Guide Me - El ELyon - Abuja HF
09:27:39 BLOC_B_SERIE_DU_JOUR              9m23s      9m20s      -3s  ✅  10 minutes
09:36:59 BLOC_B_SERIE_DU_JOUR              8m41s      8m39s      -2s  ✅  Unto Him (Vincent Opara)
09:45:38 BLOC_B_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
09:47:55 BLOC_B_SERIE_DU_JOUR              7m21s      7m25s      +4s  ✅  For By My God - Toronto & Winnipeg HF
09:55:20 BLOC_B_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
09:58:11 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
10:01:25 BLOC_B_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
10:04:44 BLOC_B_SERIE_DU_JOUR              1m05s      1m02s      -3s  ✅  Malachie 4
