====================================================================================================
MONITEUR RADIO — 2026-07-24 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 214 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:25  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:19  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:29:57  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:04  🌐 échec réseau AzuraCast/Liquidsoap  (×206)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:30  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:25 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   18:10:02  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:38  COUPÉ 230s « Cantiques  Il a pris mes iniquités »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-24 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
11:43:01 BLOC_B_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  1 Timothée 2
11:45:09 BLOC_B_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  1 Timothée 3
11:47:30 BLOC_B_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  1 Timothée 4
11:49:57 BLOC_B_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  1 Timothée 5
11:53:39 BLOC_B_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
11:57:29 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
11:57:38 BLOC_B_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
12:03:42 BLOC_C_SERIE_DU_JOUR              0m10s      0m11s      +1s  ✅  jingle avant message 01 voici le message du jour
12:03:53 BLOC_C_SERIE_DU_JOUR              9m45s      9m42s      -3s  ✅  amc tian combat spirituel 1
12:13:35 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
12:13:42 BLOC_C_SERIE_DU_JOUR              2m21s      2m18s      -3s  ✅  Nahum 1
12:16:00 BLOC_C_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
12:18:01 BLOC_C_SERIE_DU_JOUR              3m02s      3m00s      -2s  ✅  Nahum 3
12:21:01 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
12:24:12 BLOC_C_SERIE_DU_JOUR              2m15s      2m12s      -3s  ✅  1 Pierre 5
12:26:24 BLOC_C_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Ézéchiel 27
12:31:32 BLOC_C_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Ézéchiel 28
12:35:53 BLOC_C_SERIE_DU_JOUR              3m47s      3m44s      -3s  ✅  Ézéchiel 29
12:39:37 BLOC_C_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Ézéchiel 30
12:43:33 BLOC_C_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Ézéchiel 31
12:46:57 BLOC_C_SERIE_DU_JOUR              5m28s      5m26s      -2s  ✅  Ézéchiel 32
12:52:23 BLOC_C_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  Ézéchiel 33
12:58:05 BLOC_C_SERIE_DU_JOUR              5m22s      5m20s      -2s  ✅  Ézéchiel 34
13:03:25 BLOC_C_SERIE_DU_JOUR              2m14s      2m11s      -3s  ✅  Ézéchiel 35
13:05:36 BLOC_C_SERIE_DU_JOUR              6m24s      6m21s      -3s  ✅  Ézéchiel 36
13:11:57 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
13:12:05 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
13:21:26 BLOC_C_SERIE_DU_JOUR              6m59s      6m56s      -3s  ✅  Hosanna - Toronto HF
13:28:22 BLOC_C_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  By the word of the lord - Ketu HF
13:33:41 BLOC_C_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
13:39:51 BLOC_C_SERIE_DU_JOUR              7m46s      7m43s      -3s  ✅  Arise Out of Zion  - Winnipeg Fellowship
13:47:34 BLOC_C_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
13:54:29 BLOC_C_SERIE_DU_JOUR              9m04s      9m01s      -3s  ✅  You're the Lamb - Calabar HF
14:03:30 BLOC_C_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
14:08:16 BLOC_C_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
