====================================================================================================
MONITEUR RADIO — 2026-09-01 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 9 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:30  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:30  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:34  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:40  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:34 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:44  COUPÉ 1096s « pqe j6 »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-01 (heures UTC)
307 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
05:41:48 BLOC_A_SERIE_DU_JOUR              0m12s      0m12s      +0s  ✅  jingle id station 03 notre mission annonce levangile
05:42:00 BLOC_A_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Sophonie 1
05:44:54 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
05:47:37 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
05:51:21 BLOC_A_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Zacharie 5
05:52:57 BLOC_A_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Zacharie 6
05:55:16 BLOC_A_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  Zacharie 7
05:57:20 BLOC_A_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Zacharie 8
06:01:09 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
06:01:15 BLOC_B_SERIE_DU_JOUR             20m13s     20m11s      -2s  ✅  pqe j6
06:21:26 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
06:21:36 BLOC_B_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
06:24:41 BLOC_B_SERIE_DU_JOUR              5m41s      5m39s      -2s  ✅  Joël 2
06:30:20 BLOC_B_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
06:33:53 BLOC_B_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
06:37:32 BLOC_B_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
06:41:34 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
06:44:48 BLOC_B_SERIE_DU_JOUR              3m57s      3m54s      -3s  ✅  Jacques 1
