====================================================================================================
MONITEUR RADIO — 2026-08-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 21 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×17)
   23:59:57  🔇 bascule sur jingle d'erreur (silence potentiel)
RESET MINUIT : restart confirmé vers 00:02:05 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:34  TROU 130s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-23 (heures UTC)
258 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:34 BLOC_A_SERIE_DU_JOUR              0m11s      2m21s    +130s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
09:07:56 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
09:08:02 BLOC_B_SERIE_DU_JOUR              9m17s      9m15s      -2s  ✅  Luc 1
09:17:17 BLOC_B_SERIE_DU_JOUR              6m47s      6m45s      -2s  ✅  Luc 2
09:24:02 BLOC_B_SERIE_DU_JOUR              6m04s      6m01s      -3s  ✅  Luc 3
09:30:03 BLOC_B_SERIE_DU_JOUR              6m21s      6m19s      -2s  ✅  Luc 4
09:36:22 BLOC_B_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
09:36:32 BLOC_B_SERIE_DU_JOUR              6m13s      6m11s      -2s  ✅  Immortal God - Elohim Adonai - Abuja HF
09:42:43 BLOC_B_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Not Naked (Abasiama Timothy)
09:48:32 BLOC_B_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
09:53:18 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
09:58:24 BLOC_B_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
10:05:19 BLOC_B_SERIE_DU_JOUR             11m01s     10m58s      -3s  ✅  Great is, Ascribe - Ketu HF
10:16:17 BLOC_B_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Mon modèle, c est Jésus
10:20:29 BLOC_B_SERIE_DU_JOUR              4m40s      4m45s      +5s  ✅  All in All - CHF
10:25:14 BLOC_B_SERIE_DU_JOUR              6m31s      6m28s      -3s  ✅  Actes 5
10:31:42 BLOC_B_SERIE_DU_JOUR              2m27s      2m25s      -2s  ✅  Actes 6
10:34:07 BLOC_B_SERIE_DU_JOUR              8m53s      8m51s      -2s  ✅  Actes 7
10:42:58 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  Actes 8
10:48:17 BLOC_B_SERIE_DU_JOUR              6m32s      6m30s      -2s  ✅  Actes 9
10:54:47 BLOC_B_SERIE_DU_JOUR              6m32s      6m37s      +5s  ✅  Actes 10
11:01:24 BLOC_B_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  There Is Forgiveness In Thee - SWBN TV
11:07:29 BLOC_B_SERIE_DU_JOUR              9m39s      9m36s      -3s  ✅  Psalm 93 - Port Harcourt HF
11:17:05 BLOC_B_SERIE_DU_JOUR              8m31s      8m29s      -2s  ✅  Holy Holy - Abuja HF
11:25:34 BLOC_B_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
11:31:23 BLOC_B_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
11:41:03 BLOC_B_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Sing Hallelujah - Abuja HF
11:45:22 BLOC_B_SERIE_DU_JOUR              6m12s      6m19s      +7s  ✅  Praise the Lord All Ye Nations - Toronto HF
11:51:41 BLOC_B_SERIE_DU_JOUR              5m46s      5m43s      -3s  ✅  Juges 1
11:57:24 BLOC_B_SERIE_DU_JOUR              4m00s      3m58s      -2s  ✅  Juges 2
12:01:22 BLOC_C_SERIE_DU_JOUR              0m10s      0m10s      +0s  ✅  jingle avant message 01 voici le message du jour
12:01:32 BLOC_C_SERIE_DU_JOUR           1h20m11s   1h20m09s      -2s  ✅  aps la moisson 20220219 4
13:21:41 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
13:21:48 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Jean 21
13:25:50 BLOC_C_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
13:28:55 BLOC_C_SERIE_DU_JOUR              5m41s      5m38s      -3s  ✅  Joël 2
13:34:33 BLOC_C_SERIE_DU_JOUR              3m36s      3m34s      -2s  ✅  Joël 3
13:38:07 BLOC_C_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  Zacharie 1
13:41:38 BLOC_C_SERIE_DU_JOUR              1m51s      1m48s      -3s  ✅  Zacharie 2
13:43:26 BLOC_C_SERIE_DU_JOUR              1m46s      1m44s      -2s  ✅  Zacharie 3
13:45:10 BLOC_C_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Zacharie 4
13:47:13 BLOC_C_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Zacharie 5
13:48:49 BLOC_C_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Zacharie 6
13:51:09 BLOC_C_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  Zacharie 7
13:53:13 BLOC_C_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Zacharie 8
13:57:02 BLOC_C_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  Zacharie 9
14:00:12 BLOC_C_SERIE_DU_JOUR              2m13s      2m10s      -3s  ✅  Zacharie 10
14:02:22 BLOC_C_SERIE_DU_JOUR              2m53s      2m51s      -2s  ✅  Zacharie 11
14:05:13 BLOC_C_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  Zacharie 12
14:07:48 BLOC_C_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
14:07:58 BLOC_C_SERIE_DU_JOUR              9m14s      9m12s      -2s  ✅  A jamais, tu seras l Agneau de Dieu
14:17:10 BLOC_C_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
14:25:45 BLOC_C_SERIE_DU_JOUR              8m10s      8m08s      -2s  ✅  Agunechemba - SWBN TV
14:33:53 BLOC_C_SERIE_DU_JOUR              6m19s      6m18s      -1s  ✅  Unto Him - CHF
