====================================================================================================
MONITEUR RADIO — 2026-07-27 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 108 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:22  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:28  🌐 échec réseau AzuraCast/Liquidsoap  (×101)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:28  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:22 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:48  COUPÉ 131s « There is no Lie (Imah Adegoke & Mary Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-27 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
11:41:39 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
11:44:53 BLOC_B_SERIE_DU_JOUR              1m30s      1m28s      -2s  ✅  Lévitique 12
11:46:21 BLOC_B_SERIE_DU_JOUR             10m24s     10m22s      -2s  ✅  Lévitique 13
11:56:43 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
11:56:52 BLOC_B_SERIE_DU_JOUR              4m48s      4m52s      +4s  ✅  Yeshua I'm Waiting for You  - Ketu HF
12:01:44 BLOC_C_SERIE_DU_JOUR              9m37s      9m35s      -2s  ✅  amc tian combat spirituel 4
12:11:19 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
12:11:26 BLOC_C_SERIE_DU_JOUR              4m37s      4m34s      -3s  ✅  1 Corinthiens 1
12:16:00 BLOC_C_SERIE_DU_JOUR              2m43s      2m41s      -2s  ✅  1 Corinthiens 2
12:18:41 BLOC_C_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  1 Corinthiens 3
12:22:04 BLOC_C_SERIE_DU_JOUR              3m40s      3m38s      -2s  ✅  1 Corinthiens 4
12:25:42 BLOC_C_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  1 Corinthiens 5
12:27:57 BLOC_C_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  1 Corinthiens 6
12:31:13 BLOC_C_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  1 Corinthiens 7
12:37:39 BLOC_C_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  1 Corinthiens 8
12:39:41 BLOC_C_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  1 Corinthiens 9
12:43:47 BLOC_C_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  1 Corinthiens 10
12:48:33 BLOC_C_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  1 Corinthiens 11
12:53:39 BLOC_C_SERIE_DU_JOUR              4m41s      4m39s      -2s  ✅  1 Corinthiens 12
12:58:18 BLOC_C_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  1 Corinthiens 13
13:00:53 BLOC_C_SERIE_DU_JOUR              6m31s      6m28s      -3s  ✅  1 Corinthiens 14
13:07:21 BLOC_C_SERIE_DU_JOUR              8m34s      8m40s      +6s  ✅  1 Corinthiens 15
13:16:01 BLOC_C_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
13:22:04 BLOC_C_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
13:28:11 BLOC_C_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
13:32:42 BLOC_C_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Bless Ye the Lord - PHF
